"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Winery_470066d6-4e43-4f01-82af-cf6e1bc7bee5_38611f73-ea03-4b2f-965f-46f7f490d6ad","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_473b176a-82c4-45a1-aa93-700e0cf41ecb_d7784557-1aff-4336-b193-d26e14d1fcd4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_4ba4cce6-7c3e-464e-b517-71666dd79fe0_710df8b4-2ca0-44a3-934a-6c248f4216e2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_4c48133e-5fc5-4c2d-a44f-296a6b9d49a1_1da885de-3db9-4468-bc71-29a8d2825ed0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_51cb0ff6-7697-4270-b271-47b190480910_584d9406-37d9-4149-ba6b-ac50c66e34f0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_52462cc9-d7e8-43da-9a87-3a33ec658980_16218262-eed8-4d81-8922-a05de9956e1e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_53487aaa-9f7f-4f2e-81d9-2ae7f5814fed_fac2a649-d15e-43dc-b1ff-502d8fa67923","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_5752f406-57bc-43d5-8368-45286fb33b5f_54bb8c38-61c0-476e-a468-33a70edee83b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_583dcbf1-cf4c-45b2-8c05-edb9d94fe8a6_82cec52e-e725-493f-a9ad-d99720609691","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_5854056d-eb60-4029-949c-3700e988db2e_f6a44ed1-611f-4362-b9f9-407fd703de16","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_5b14e969-2cde-4b68-8c51-344518e5b12d_36c515ae-b94c-48fc-bee1-593cf2fc2772","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Image_d0c0a5a5-fc44-475f-a525-ed9b93c12ce7_03c20a3d-65a9-4933-9f81-49836637ed51","http://www.w3.org/2000/01/rdf-schema#label","http://www.eharmonise/2014-03-12#Image",""
"http://lariojaturismo.gnoss.com/items/Image_d0c0a5a5-fc44-475f-a525-ed9b93c12ce7_9c513c9a-4fc0-433d-9397-8a089c33e6f3","http://www.w3.org/2000/01/rdf-schema#label","http://www.eharmonise/2014-03-12#Image",""
"http://lariojaturismo.gnoss.com/items/Image_d0c0a5a5-fc44-475f-a525-ed9b93c12ce7_5c7b717a-9029-4220-8d12-63bfd3f65396","http://www.w3.org/2000/01/rdf-schema#label","http://www.eharmonise/2014-03-12#Image",""
"http://lariojaturismo.gnoss.com/items/Location_faddcb42-fc4a-4c66-a740-5300816024ff_b201e35e-d261-4b07-b15c-d1a584807294","http://www.w3.org/2000/01/rdf-schema#label","http://www.eharmonise/2014-03-12#Location",""
"http://lariojaturismo.gnoss.com/items/Winery_004e2cf0-2396-480f-8659-9a82f18424a1_a90fd32a-6f91-4154-994d-b767952be5b7","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_039fb061-82d2-4f21-956b-3058fa534e87_1fb25e06-5b45-4405-a1bc-95e0af5828d7","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_04647fa6-417e-4510-a11c-acf9d86919f1_d6b0c62c-6013-43f3-870c-dde5d0feecbf","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_06b12454-bf8c-4b0f-9d19-ad8d2b7c745b_d483b459-9f1a-42ce-ba34-118f08e5856a","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_08bac1bf-323e-4e99-a5d9-51b4e16eb6e8_dceeccb3-04c6-4fdc-b902-d88ea3d1c291","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_0cc4af7c-c3c6-41d2-9926-5820d3f44759_af01256b-172f-45d8-952b-98e348f0667a","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_0f9f1700-ce3c-4662-9881-7dc2403d1367_8bd3d658-568d-44af-a129-405ac0de37aa","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
