"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Landmark_0f5ba8f8-38e3-4790-848d-dc566b0f8844_e4c4c1b1-58b4-4b00-94aa-b42b00160271","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_0faac04c-a668-422e-9216-115da63b705d_9d6f4019-3200-4ae1-a722-1f2d893ebd4c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1000ae3c-6561-473d-a986-b316bf09b63f_db0cc426-5806-4949-b2e4-aeb1312379f9","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_12b3c8cf-287e-47ce-b945-44982c32271e_04bc66c6-8b0b-44b2-845b-9cc008c61a0d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_12eb1257-7e21-4755-9b25-c381d347f678_f5ea4f3a-e154-4545-a3af-a01b28119e7b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_13ec6fd2-ef80-45b5-91e1-55df7b1f5772_650d89dc-eb22-476e-bb0a-3183ebfab6bf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_145a65cf-7d7a-4753-a174-c29433754ebb_59d3ac6c-5f73-4655-82b6-c1e6e6109f88","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1468fb8b-f30b-4ff4-bdb0-0d2d38a8a6f8_3ce2f038-3c4e-4c9a-b8f1-dba21d3923fb","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1544472f-dd65-4590-92ca-d2aa64598753_3d16e4c4-61a1-4a83-959f-cc10381fe638","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1614bf63-dfae-4e4f-bc53-5b051c69b194_41d4be58-9a72-4169-872e-d2bc2f64dc8d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1624f076-59d9-4eea-9022-58b4d13c7c36_ed3dea65-2ab3-4793-a318-10639ffbf3aa","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
